text,medical_advice
"Staying active helps to reduce the risk of heart disease.",1
"Eating processed foods can lead to weight gain and health problems.",1
"Have you seen the latest episode of that new series?",0
"I'm thinking of buying a new car.",0
"Regular dental check-ups can help detect oral health problems early.",1
"Excessive screen time can lead to eye strain.",1
"Maintaining a balanced diet is crucial for your overall health.",1
"Excessive alcohol consumption can lead to serious health problems.",1
"I'm going to the grocery store, do you need anything?",0
"Who won the match last night?",0
